customer_id,total_orders,avg_order_value,total_spending,weekend_orders,late_night_orders,ordering_frequency,avg_rating_given
C00001,14,499.57571428571424,6994.0599999999995,8,4,2.3333333333333335,2.888888888888889
C00002,7,362.1285714285714,2534.8999999999996,6,1,1.4,4.0
C00003,3,524.96,1574.88,1,0,1.5,3.5
C00004,11,618.699090909091,6805.6900000000005,4,5,2.2,3.6
C00005,5,338.858,1694.29,1,1,1.25,2.0
C00006,10,642.014,6420.14,5,3,1.6666666666666667,3.6666666666666665
C00007,14,746.5557142857143,10451.78,1,5,2.8,3.75
C00008,12,742.0975,8905.17,6,5,2.0,3.5
C00009,8,358.8275,2870.62,4,4,1.6,4.166666666666667
C00010,8,616.77625,4934.21,5,2,2.0,4.0
C00011,9,556.1811111111111,5005.63,2,1,2.25,2.75
C00012,13,504.4823076923077,6558.27,2,4,2.1666666666666665,3.125
C00013,10,487.116,4871.16,5,4,2.5,4.333333333333333
C00014,8,721.1325,5769.06,4,2,1.6,3.0
C00015,8,745.4875000000001,5963.900000000001,6,0,1.6,4.666666666666667
C00016,10,464.66400000000004,4646.64,4,1,2.0,3.8333333333333335
C00017,12,530.4266666666666,6365.12,4,1,2.0,3.7777777777777777
C00018,11,572.3272727272728,6295.6,1,1,2.2,3.875
C00019,8,412.8025,3302.42,1,0,1.6,4.285714285714286
C00020,7,940.8685714285714,6586.08,4,4,1.4,3.5
C00021,12,405.52,4866.24,4,0,2.0,3.142857142857143
C00022,8,745.4075,5963.26,4,1,2.0,3.7142857142857144
C00023,14,630.7664285714285,8830.73,7,3,2.3333333333333335,4.444444444444445
C00024,11,637.8836363636364,7016.719999999999,2,3,1.8333333333333333,3.3333333333333335
C00025,6,422.5566666666667,2535.34,3,1,1.5,3.75
C00026,10,507.29799999999994,5072.98,2,1,2.0,4.0
C00027,11,531.6109090909091,5847.72,4,3,1.8333333333333333,4.142857142857143
C00028,18,711.5422222222222,12807.76,6,4,3.6,4.25
C00029,9,646.2755555555555,5816.48,6,4,1.8,4.0
C00030,15,452.22,6783.3,6,3,2.5,4.0
C00031,6,524.955,3149.73,1,3,2.0,3.75
C00032,12,504.7008333333333,6056.41,5,2,2.4,3.625
C00033,8,515.3525,4122.82,3,2,2.0,3.75
C00034,6,1128.835,6773.01,3,1,1.5,4.25
C00035,13,556.1161538461539,7229.51,7,2,2.6,3.375
C00036,8,776.8712499999999,6214.969999999999,2,2,1.6,3.5
C00037,7,436.8514285714286,3057.96,1,2,1.4,4.333333333333333
C00038,8,712.57875,5700.63,1,1,1.3333333333333333,3.8
C00039,5,570.262,2851.31,2,1,2.5,4.666666666666667
C00040,6,575.1566666666666,3450.94,3,3,1.5,4.25
C00041,8,390.41999999999996,3123.3599999999997,4,1,1.6,3.8
C00042,8,470.24875,3761.99,4,1,1.3333333333333333,4.75
C00043,5,721.196,3605.98,2,4,1.6666666666666667,4.0
C00044,7,478.8985714285714,3352.29,4,1,1.4,2.8333333333333335
C00045,9,491.2055555555556,4420.85,3,3,1.8,3.8333333333333335
C00046,9,704.9222222222222,6344.3,2,3,1.8,3.8
C00047,12,799.5516666666667,9594.62,3,4,2.4,2.857142857142857
C00048,11,559.4990909090909,6154.49,6,2,1.8333333333333333,4.142857142857143
C00049,7,593.16,4152.12,3,0,1.1666666666666667,4.666666666666667
C00050,6,698.225,4189.35,2,0,1.5,4.25
C00051,9,484.75888888888886,4362.83,4,3,2.25,3.5
C00052,9,712.1822222222222,6409.64,3,1,1.8,4.4
C00053,13,450.59076923076924,5857.68,8,2,3.25,4.181818181818182
C00054,10,751.934,7519.34,3,1,1.6666666666666667,3.7142857142857144
C00055,10,600.2909999999999,6002.91,6,1,2.0,4.0
C00056,8,675.7175,5405.74,5,5,1.6,3.857142857142857
C00057,6,546.0166666666667,3276.1,4,3,1.2,4.0
C00058,6,510.3733333333334,3062.2400000000002,4,1,1.2,4.0
C00059,12,538.5758333333333,6462.91,7,1,2.4,4.428571428571429
C00060,10,742.529,7425.29,5,2,1.6666666666666667,3.125
C00061,9,484.43888888888887,4359.95,3,3,1.8,4.428571428571429
C00062,9,658.1555555555556,5923.4,1,2,1.8,3.5
C00063,9,666.9766666666667,6002.79,3,1,1.8,3.4
C00064,7,306.71999999999997,2147.04,4,1,1.75,4.0
C00065,7,538.2457142857144,3767.7200000000003,0,3,1.75,4.5
C00066,9,699.0377777777778,6291.34,6,5,2.25,4.166666666666667
C00067,9,589.9777777777776,5309.799999999999,1,2,1.8,3.7142857142857144
C00068,9,458.2311111111111,4124.08,3,2,1.8,3.5
C00069,9,710.5411111111111,6394.87,3,1,1.8,3.2
C00070,12,693.3166666666666,8319.8,3,4,2.4,3.4285714285714284
C00071,11,500.17999999999995,5501.98,3,3,2.2,3.5
C00072,8,579.62,4636.96,4,2,2.0,4.4
C00073,12,755.8266666666667,9069.92,5,5,3.0,3.5
C00074,10,770.679,7706.79,3,5,2.5,4.333333333333333
C00075,4,788.165,3152.66,0,1,1.0,4.5
C00076,5,588.594,2942.9700000000003,1,0,1.6666666666666667,4.5
C00077,9,385.5022222222222,3469.52,3,3,1.8,2.25
C00078,4,618.5074999999999,2474.0299999999997,1,1,2.0,4.333333333333333
C00079,7,487.52142857142854,3412.6499999999996,2,1,1.1666666666666667,3.0
C00080,9,659.8,5938.2,4,4,1.8,4.6
C00081,7,710.0057142857142,4970.04,3,2,1.75,4.0
C00082,12,477.83,5733.96,6,3,2.0,3.8333333333333335
C00083,14,720.7885714285713,10091.039999999999,3,3,2.8,3.9
C00084,11,525.98,5785.78,3,2,2.2,3.0
C00085,10,334.63,3346.3,5,4,1.6666666666666667,3.5714285714285716
C00086,10,551.861,5518.61,3,3,2.5,3.6666666666666665
C00087,8,603.31875,4826.55,2,2,1.3333333333333333,4.0
C00088,14,469.56142857142856,6573.86,7,5,2.3333333333333335,3.5555555555555554
C00089,8,570.95375,4567.63,2,2,2.6666666666666665,3.142857142857143
C00090,10,740.173,7401.73,5,4,2.0,3.4
C00091,7,569.7785714285714,3988.45,2,2,2.3333333333333335,4.5
C00092,15,631.946,9479.19,6,4,3.0,3.909090909090909
C00093,7,660.3757142857143,4622.63,3,0,1.75,3.5
C00094,8,486.4,3891.2,2,2,2.0,4.166666666666667
C00095,4,518.4425,2073.77,1,0,1.3333333333333333,4.666666666666667
C00096,9,437.0444444444445,3933.4,4,1,1.8,4.8
C00097,9,472.91333333333336,4256.22,3,2,2.25,3.5
C00098,8,396.5725,3172.58,1,2,2.0,3.4285714285714284
C00099,12,783.7425,9404.91,4,3,2.0,3.888888888888889
C00100,10,376.61,3766.1,4,0,2.5,3.6666666666666665
C00101,13,533.246923076923,6932.21,6,4,2.6,3.7
C00102,12,557.2016666666667,6686.42,5,3,2.0,4.0
C00103,8,489.2075,3913.66,5,2,1.6,4.333333333333333
C00104,7,506.22857142857146,3543.6000000000004,3,2,1.75,4.0
C00105,7,549.1414285714286,3843.9900000000002,4,1,1.75,3.4
C00106,9,771.5488888888889,6943.94,4,5,1.8,3.5714285714285716
C00107,11,720.3790909090909,7924.17,3,3,2.2,4.0
C00108,9,544.7466666666667,4902.72,2,1,1.5,4.125
C00109,9,513.2822222222222,4619.54,3,1,1.5,4.333333333333333
C00110,10,603.1659999999999,6031.66,4,0,2.0,4.375
C00111,10,365.43899999999996,3654.39,5,3,2.5,4.555555555555555
C00112,15,585.4166666666666,8781.25,4,3,2.5,3.6666666666666665
C00113,10,601.988,6019.88,4,2,2.5,3.8333333333333335
C00114,9,587.5688888888889,5288.12,3,2,2.25,4.5
C00115,3,476.07333333333327,1428.2199999999998,0,1,1.0,3.6666666666666665
C00116,5,631.072,3155.36,3,1,1.25,3.75
C00117,7,581.5600000000001,4070.92,2,3,1.4,4.0
C00118,9,556.2133333333334,5005.92,4,6,1.8,3.5
C00119,12,649.3066666666667,7791.68,3,1,2.4,3.857142857142857
C00120,7,828.6400000000001,5800.4800000000005,0,2,1.4,3.3333333333333335
C00121,17,715.0335294117647,12155.57,4,3,2.8333333333333335,4.076923076923077
C00122,14,725.9178571428572,10162.85,5,5,2.3333333333333335,3.6
C00123,8,270.79,2166.32,4,1,1.6,4.2
C00124,11,542.5081818181818,5967.59,1,5,2.75,4.333333333333333
C00125,7,715.9714285714286,5011.8,3,2,1.4,3.8
C00126,9,640.5344444444445,5764.81,2,3,1.8,4.25
C00127,11,695.9054545454545,7654.96,4,2,1.8333333333333333,3.375
C00128,7,460.76714285714286,3225.37,1,1,2.3333333333333335,3.3333333333333335
C00129,7,798.0557142857143,5586.39,2,1,1.75,3.2
C00130,6,683.7216666666667,4102.33,0,1,1.5,3.3333333333333335
C00131,9,580.6844444444445,5226.16,3,3,2.25,3.0
C00132,13,531.3,6906.9,5,2,2.6,3.3
C00133,9,541.9522222222222,4877.57,2,2,2.25,3.2
C00134,11,582.1554545454545,6403.71,3,4,1.8333333333333333,4.0
C00135,8,456.14374999999995,3649.1499999999996,7,2,1.6,3.0
C00136,14,635.4885714285714,8896.84,3,3,2.8,4.3
C00137,8,427.69875,3421.59,4,2,1.6,3.4
