customer_id,total_orders,avg_order_value,total_spending,weekend_orders,late_night_orders,ordering_frequency,avg_rating_given,cluster,segment_name
C00001,14,499.57571428571424,6994.06,8,4,2.333333333333333,2.888888888888889,1,Highly Engaged / High-Value Customers
C00002,7,362.1285714285714,2534.9,6,1,1.4,4.0,0,Occasional / Lower-Engagement Customers
C00003,3,524.96,1574.88,1,0,1.5,3.5,0,Occasional / Lower-Engagement Customers
C00004,11,618.699090909091,6805.6900000000005,4,5,2.2,3.6,1,Highly Engaged / High-Value Customers
C00005,5,338.858,1694.29,1,1,1.25,2.0,0,Occasional / Lower-Engagement Customers
C00006,10,642.014,6420.14,5,3,1.6666666666666667,3.6666666666666665,1,Highly Engaged / High-Value Customers
C00007,14,746.5557142857143,10451.78,1,5,2.8,3.75,1,Highly Engaged / High-Value Customers
C00008,12,742.0975,8905.17,6,5,2.0,3.5,1,Highly Engaged / High-Value Customers
C00009,8,358.8275,2870.62,4,4,1.6,4.166666666666667,0,Occasional / Lower-Engagement Customers
C00010,8,616.77625,4934.21,5,2,2.0,4.0,0,Occasional / Lower-Engagement Customers
C00011,9,556.1811111111111,5005.63,2,1,2.25,2.75,0,Occasional / Lower-Engagement Customers
C00012,13,504.4823076923077,6558.27,2,4,2.1666666666666665,3.125,1,Highly Engaged / High-Value Customers
C00013,10,487.116,4871.16,5,4,2.5,4.333333333333333,1,Highly Engaged / High-Value Customers
C00014,8,721.1325,5769.06,4,2,1.6,3.0,0,Occasional / Lower-Engagement Customers
C00015,8,745.4875000000001,5963.900000000001,6,0,1.6,4.666666666666667,0,Occasional / Lower-Engagement Customers
C00016,10,464.664,4646.64,4,1,2.0,3.8333333333333335,0,Occasional / Lower-Engagement Customers
C00017,12,530.4266666666666,6365.12,4,1,2.0,3.7777777777777777,1,Highly Engaged / High-Value Customers
C00018,11,572.3272727272728,6295.6,1,1,2.2,3.875,0,Occasional / Lower-Engagement Customers
C00019,8,412.8025,3302.42,1,0,1.6,4.285714285714286,0,Occasional / Lower-Engagement Customers
C00020,7,940.8685714285714,6586.08,4,4,1.4,3.5,1,Highly Engaged / High-Value Customers
C00021,12,405.52,4866.24,4,0,2.0,3.142857142857143,0,Occasional / Lower-Engagement Customers
C00022,8,745.4075,5963.26,4,1,2.0,3.7142857142857135,0,Occasional / Lower-Engagement Customers
C00023,14,630.7664285714285,8830.73,7,3,2.333333333333333,4.444444444444445,1,Highly Engaged / High-Value Customers
C00024,11,637.8836363636364,7016.719999999999,2,3,1.8333333333333333,3.333333333333333,1,Highly Engaged / High-Value Customers
C00025,6,422.5566666666667,2535.34,3,1,1.5,3.75,0,Occasional / Lower-Engagement Customers
C00026,10,507.298,5072.98,2,1,2.0,4.0,0,Occasional / Lower-Engagement Customers
C00027,11,531.6109090909091,5847.72,4,3,1.8333333333333333,4.142857142857143,1,Highly Engaged / High-Value Customers
C00028,18,711.5422222222222,12807.76,6,4,3.6,4.25,1,Highly Engaged / High-Value Customers
C00029,9,646.2755555555555,5816.48,6,4,1.8,4.0,1,Highly Engaged / High-Value Customers
C00030,15,452.22,6783.3,6,3,2.5,4.0,1,Highly Engaged / High-Value Customers
C00031,6,524.955,3149.73,1,3,2.0,3.75,0,Occasional / Lower-Engagement Customers
C00032,12,504.7008333333333,6056.41,5,2,2.4,3.625,1,Highly Engaged / High-Value Customers
