term,mean_tfidf
food,0.09509119204163399
delivery,0.05807324475957325
fresh,0.05752496282125479
arrived,0.04807414155819811
quality,0.047633946463076164
excellent,0.04572825598128859
fast,0.045491994687253665
great,0.04530810459979499
experience,0.04337002434083999
hot,0.04294113063333916
everything,0.042788207242385815
order,0.040948476741668315
delicious fresh,0.03588798724930491
delicious,0.03588798724930491
food delicious,0.03588798724930491
fresh flavorful,0.03507730286762028
food fresh,0.03507730286762028
flavorful,0.03507730286762028
packaging,0.034790391479167494
food arrived,0.03392341403654423
excellent quality,0.029057834294545223
food excellent,0.029057834294545223
amazing food,0.029057834294545223
amazing,0.029057834294545223
great packaging,0.028797338614824686
delivery great,0.028797338614824686
fast delivery,0.028797338614824686
arrived hot,0.02728756243775958
fast food,0.02728756243775958
delivery fast,0.02728756243775958
finish,0.027279373134176093
excellent experience,0.027279373134176093
experience start,0.027279373134176093
start finish,0.027279373134176093
start,0.027279373134176093
everything perfect,0.027102097146084428
perfect well,0.027102097146084428
well packed,0.027102097146084428
perfect,0.027102097146084428
packed,0.027102097146084428
well,0.027102097146084428
good service,0.027000597177156863
service,0.027000597177156863
good,0.027000597177156863
great quality,0.027000597177156863
quality good,0.027000597177156863
order arrived,0.02569574285053779
quickly everything,0.02569574285053779
everything hot,0.02569574285053779
quickly,0.02569574285053779
arrived quickly,0.02569574285053779
food generous,0.024843870812811773
really,0.024843870812811773
portion,0.024843870812811773
generous,0.024843870812811773
generous portion,0.024843870812811773
tasty food,0.024843870812811773
tasty,0.024843870812811773
really tasty,0.024843870812811773
delivery late,0.020019743949330655
late,0.020019743949330655
cold,0.01796230382948601
item,0.015182635286202699
long,0.013432960925261568
average,0.013214202335616914
arrived cold,0.012262913115115492
okay,0.011909398334886733
packaging damaged,0.011372149042793496
damaged,0.011372149042793496
overall,0.011351582989333775
poor,0.010491362471701422
experience delivery,0.010491362471701422
poor experience,0.010491362471701422
missing,0.009277787386949737
missing item,0.009277787386949737
order missing,0.009277787386949737
bland,0.009082852174705468
bland disappointing,0.009082852174705468
disappointing,0.009082852174705468
food bland,0.009082852174705468
average experience,0.008910001020697274
food cold,0.008590647173058925
cold delivery,0.008590647173058925
received,0.008346719985170363
wrong,0.008346719985170363
received wrong,0.008346719985170363
wrong item,0.008346719985170363
arrive,0.008212827909556715
took,0.008212827909556715
took long,0.008212827909556715
order took,0.008212827909556715
long arrive,0.008212827909556715
ordinary,0.00792890623906706
ordinary experience,0.00792890623906706
decent,0.007834580390501519
food decent,0.007834580390501519
experience fine,0.007715654725249937
fine,0.007715654725249937
food okay,0.007542850657969861
acceptable,0.007464858114449672
