customer_id,age,gender,city,signup_date
C00001,56,Female,Bangalore,2025-10-07 12:03:54
C00002,46,Male,Pune,2026-04-24 17:27:16
C00003,32,Male,Kolkata,2026-01-03 13:01:08
C00004,60,Female,Pune,2025-08-03 18:24:26
C00005,25,Female,Chennai,2025-03-27 17:34:53
C00006,38,Male,Bangalore,2025-05-17 17:55:57
C00007,56,Female,Delhi,2026-02-25 18:11:17
C00008,36,Female,Mumbai,2025-04-06 23:20:05
C00009,40,Male,Kolkata,2025-12-09 22:46:08
C00010,28,Female,Pune,2025-04-21 14:55:06
C00011,28,Female,Bangalore,2025-11-15 19:37:24
C00012,41,Female,Kolkata,2025-03-18 04:53:36
C00013,53,Female,Hyderabad,2025-02-24 00:51:50
C00014,57,Male,Chennai,2025-01-20 02:11:18
C00015,41,Male,Hyderabad,2026-05-14 16:06:22
C00016,20,Male,Pune,2026-01-20 15:45:24
C00017,39,Male,Hyderabad,2026-04-05 20:43:44
C00018,19,Male,Hyderabad,2025-11-26 03:39:04
C00019,41,Female,Chennai,2025-04-02 05:54:39
C00020,61,Female,Chennai,2025-02-23 04:43:38
C00021,47,Female,Chennai,2025-09-15 04:39:20
C00022,55,Female,Kolkata,2026-04-03 16:55:35
C00023,19,Female,Chennai,2026-03-24 23:35:32
C00024,38,Male,Hyderabad,2025-05-19 21:58:53
C00025,50,Male,Delhi,2026-01-06 15:53:22
C00026,29,Female,Delhi,2026-03-03 03:03:35
C00027,39,Female,Chennai,2025-10-13 16:46:40
C00028,61,Male,Kolkata,2025-05-27 01:37:47
C00029,42,Female,Mumbai,2026-05-14 00:35:06
C00030,44,Male,Bangalore,2025-02-11 09:32:38
C00031,59,Female,Pune,2025-02-14 08:38:53
C00032,45,Female,Kolkata,2026-02-01 22:16:46
C00033,33,Female,Mumbai,2025-01-03 08:36:51
C00034,32,Female,Pune,2025-08-02 00:58:30
C00035,64,Female,Mumbai,2025-09-02 19:12:43
C00036,61,Female,Mumbai,2025-04-26 13:05:30
C00037,20,Female,Delhi,2025-03-08 16:43:57
C00038,54,Female,Bangalore,2026-06-22 05:08:05
C00039,24,Female,Mumbai,2025-11-22 07:50:07
C00040,38,Male,Chennai,2025-03-23 12:59:18
C00041,26,Male,Pune,2026-04-06 18:41:50
C00042,56,Female,Kolkata,2026-03-29 16:21:32
C00043,35,Male,Delhi,2025-02-13 22:20:27
C00044,21,Male,Pune,2026-02-07 20:23:34
C00045,42,Female,Chennai,2025-08-07 02:26:55
C00046,31,Female,Chennai,2026-01-04 12:46:18
C00047,26,Female,Mumbai,2025-06-06 20:38:04
C00048,43,Male,Chennai,2025-01-21 00:48:54
C00049,19,Male,Bangalore,2026-06-06 10:28:30
C00050,37,Male,Chennai,2026-05-24 22:00:59
C00051,45,Male,Mumbai,2025-07-31 00:48:34
C00052,64,Male,Pune,2025-11-26 17:52:49
