delivery_id,order_id,delivery_distance_km,preparation_time_min,delivery_time_min,tip_amount,delivery_status
DLY000001,O033554,0.5,34,59.3,83.98,Delivered
DLY000002,O009428,3.36,23,46.0,37.34,Delivered
DLY000003,O000200,7.01,24,68.1,23.14,Delivered
DLY000004,O012448,10.17,17,63.3,56.16,Delivered
DLY000005,O039490,6.57,21,48.1,261.42,Delivered
DLY000006,O042725,5.39,17,43.3,5.34,Delivered
DLY000007,O010823,5.06,21,52.1,21.81,Delivered
DLY000008,O049499,4.45,26,61.7,26.89,Delivered
DLY000009,O004145,9.71,21,83.7,7.92,Delivered
DLY000010,O036959,4.22,16,42.2,13.75,Delivered
DLY000011,O043107,5.01,30,67.1,134.97,Delivered
DLY000012,O038696,7.52,19,70.9,71.62,Delivered
DLY000013,O006189,4.7,26,54.1,90.45,Delivered
DLY000014,O001415,1.54,20,31.8,36.98,Delivered
DLY000015,O018472,6.58,12,40.6,41.97,Delivered
DLY000016,O029283,3.32,34,82.2,33.55,Delivered
DLY000017,O015178,2.66,34,51.1,17.31,Delivered
DLY000018,O034305,3.04,19,52.6,53.25,Delivered
DLY000019,O012610,1.79,45,62.7,157.42,Delivered
DLY000020,O012145,4.62,20,48.2,30.47,Delivered
DLY000021,O006114,10.25,30,77.3,149.54,Delivered
DLY000022,O015909,1.97,20,37.9,98.86,Delivered
DLY000023,O000822,4.24,10,45.1,39.88,Delivered
DLY000024,O015119,1.13,16,24.1,48.39,Delivered
DLY000025,O013467,1.69,33,64.4,24.54,Delivered
DLY000026,O026498,1.41,15,36.1,89.79,Delivered
DLY000027,O042112,3.56,32,63.2,73.08,Delivered
DLY000028,O030189,5.15,33,0.0,0.0,Failed
DLY000029,O037238,2.57,15,51.1,49.87,Delivered
DLY000030,O033110,1.54,15,0.0,0.0,Failed
DLY000031,O036481,1.83,19,46.5,18.85,Delivered
DLY000032,O024149,3.48,13,37.7,195.93,Delivered
DLY000033,O005504,4.51,22,0.0,0.0,Failed
DLY000034,O003919,5.32,48,74.2,27.15,Delivered
DLY000035,O038479,9.1,9,64.0,172.16,Delivered
DLY000036,O021124,4.09,15,62.6,23.31,Delivered
DLY000037,O049718,3.02,31,76.6,103.29,Delivered
DLY000038,O042295,4.12,15,42.3,83.07,Delivered
DLY000039,O047610,5.9,16,44.5,125.41,Delivered
