driver_id,vehicle_type,driver_rating,experience_years,city
D0001,Bike,4.1,3,Kolkata
D0002,Bike,4.1,4,Chennai
D0003,Bike,4.1,1,Bangalore
D0004,Bike,4.6,2,Mumbai
D0005,Bike,4.1,3,Mumbai
D0006,Car,5.0,6,Pune
D0007,Bike,4.2,6,Kolkata
D0008,Bike,4.6,1,Mumbai
D0009,Car,4.5,4,Hyderabad
D0010,Scooter,4.2,1,Delhi
D0011,Car,4.0,10,Kolkata
D0012,Car,4.3,9,Delhi
D0013,Bike,4.4,4,Pune
D0014,Scooter,4.0,5,Delhi
D0015,Bike,4.3,6,Bangalore
D0016,Bike,4.6,5,Delhi
D0017,Scooter,4.9,5,Delhi
D0018,Bike,4.5,9,Kolkata
D0019,Scooter,4.9,4,Hyderabad
D0020,Scooter,4.0,4,Chennai
D0021,Bike,4.4,7,Mumbai
D0022,Car,4.7,5,Hyderabad
D0023,Bike,3.9,5,Hyderabad
D0024,Bike,4.0,1,Hyderabad
D0025,Car,4.8,2,Mumbai
D0026,Bike,3.9,1,Pune
D0027,Scooter,3.7,3,Hyderabad
D0028,Bike,4.7,3,Chennai
D0029,Bike,4.6,10,Pune
D0030,Scooter,4.4,4,Delhi
D0031,Scooter,4.2,6,Chennai
D0032,Bike,4.0,2,Kolkata
D0033,Bike,4.3,7,Pune
D0034,Car,4.8,4,Delhi
D0035,Bike,4.3,5,Delhi
D0036,Car,5.0,2,Hyderabad
D0037,Bike,3.9,4,Hyderabad
D0038,Scooter,4.2,4,Mumbai
D0039,Car,4.1,4,Bangalore
D0040,Bike,3.8,8,Chennai
D0041,Scooter,4.1,8,Mumbai
D0042,Scooter,4.3,10,Mumbai
D0043,Scooter,4.4,5,Chennai
D0044,Bike,5.0,10,Pune
D0045,Scooter,4.4,7,Kolkata
D0046,Scooter,4.6,2,Chennai
D0047,Scooter,4.2,3,Delhi
D0048,Scooter,4.8,1,Kolkata
D0049,Bike,5.0,0,Bangalore
D0050,Car,4.4,1,Pune
D0051,Bike,3.9,0,Hyderabad
D0052,Bike,4.0,5,Bangalore
D0053,Bike,4.3,3,Bangalore
D0054,Bike,4.4,2,Hyderabad
D0055,Bike,4.4,6,Bangalore
D0056,Bike,4.4,7,Pune
D0057,Bike,4.2,10,Pune
D0058,Scooter,4.0,4,Pune
D0059,Bike,4.3,3,Mumbai
D0060,Bike,4.8,2,Mumbai
D0061,Bike,4.6,1,Pune
D0062,Bike,4.4,1,Hyderabad
D0063,Bike,4.6,2,Hyderabad
D0064,Scooter,4.1,10,Chennai
D0065,Car,4.0,0,Chennai
D0066,Car,3.9,1,Pune
D0067,Car,4.2,1,Kolkata
D0068,Bike,4.1,5,Bangalore
D0069,Bike,4.6,2,Bangalore
D0070,Bike,4.0,3,Hyderabad
D0071,Scooter,3.9,1,Kolkata
D0072,Bike,4.9,2,Bangalore
D0073,Scooter,4.0,0,Delhi
D0074,Bike,4.3,3,Mumbai
D0075,Bike,4.4,0,Bangalore
D0076,Car,3.8,6,Bangalore
D0077,Scooter,4.6,4,Chennai
D0078,Scooter,4.4,5,Delhi
D0079,Scooter,4.7,3,Bangalore
D0080,Car,4.0,2,Mumbai
D0081,Scooter,4.2,0,Bangalore
D0082,Car,4.2,3,Hyderabad
D0083,Bike,4.3,3,Delhi
D0084,Scooter,3.7,3,Bangalore
D0085,Scooter,4.2,5,Kolkata
D0086,Bike,3.7,7,Delhi
D0087,Car,4.3,6,Bangalore
D0088,Car,3.5,1,Mumbai
D0089,Bike,3.6,4,Mumbai
D0090,Bike,4.5,0,Delhi
D0091,Bike,4.0,5,Pune
D0092,Car,3.9,2,Chennai
D0093,Scooter,4.6,1,Chennai
D0094,Bike,4.3,7,Hyderabad
D0095,Bike,4.5,4,Pune
D0096,Bike,4.1,2,Chennai
D0097,Scooter,5.0,0,Delhi
D0098,Bike,4.0,3,Chennai
D0099,Bike,4.8,8,Hyderabad
D0100,Scooter,4.2,4,Bangalore
D0101,Bike,3.6,10,Chennai
D0102,Bike,4.4,1,Delhi
D0103,Bike,4.3,4,Delhi
D0104,Bike,3.8,6,Hyderabad
D0105,Bike,3.9,3,Kolkata
D0106,Car,4.2,0,Hyderabad
D0107,Scooter,4.3,4,Kolkata
D0108,Car,3.3,4,Mumbai
D0109,Car,4.6,5,Mumbai
D0110,Bike,4.0,6,Mumbai
D0111,Bike,3.7,6,Kolkata
D0112,Bike,4.5,5,Bangalore
D0113,Scooter,4.2,1,Delhi
D0114,Scooter,4.6,2,Mumbai
D0115,Bike,4.4,6,Delhi
D0116,Bike,4.2,9,Hyderabad
D0117,Bike,4.1,0,Bangalore
D0118,Bike,4.4,3,Hyderabad
D0119,Car,4.1,2,Delhi
D0120,Bike,3.9,1,Pune
D0121,Car,4.4,3,Kolkata
D0122,Bike,4.1,4,Pune
D0123,Scooter,4.2,0,Mumbai
D0124,Car,4.6,6,Pune
D0125,Car,4.2,6,Hyderabad
D0126,Bike,4.2,9,Kolkata
D0127,Bike,4.0,1,Pune
D0128,Bike,4.4,4,Chennai
D0129,Bike,4.3,3,Bangalore
D0130,Scooter,4.5,2,Delhi
D0131,Car,4.0,4,Kolkata
D0132,Bike,4.0,6,Mumbai
D0133,Bike,4.5,0,Hyderabad
D0134,Bike,4.3,9,Bangalore
D0135,Car,3.9,6,Mumbai
D0136,Car,4.7,6,Hyderabad
D0137,Bike,3.6,6,Pune
D0138,Bike,4.5,2,Kolkata
D0139,Scooter,3.8,6,Delhi
D0140,Scooter,4.9,2,Kolkata
D0141,Bike,3.7,8,Chennai
D0142,Car,4.6,1,Chennai
D0143,Car,4.2,2,Kolkata
D0144,Scooter,4.1,4,Pune
D0145,Scooter,4.3,2,Delhi
D0146,Bike,4.4,3,Bangalore
D0147,Scooter,3.9,3,Delhi
D0148,Bike,3.9,7,Pune
D0149,Bike,4.4,3,Hyderabad
D0150,Bike,3.6,2,Kolkata
D0151,Bike,4.0,1,Kolkata
D0152,Bike,5.0,2,Kolkata
D0153,Bike,3.9,3,Kolkata
D0154,Scooter,4.6,5,Bangalore
D0155,Scooter,4.0,1,Chennai
D0156,Bike,4.4,1,Pune
D0157,Bike,4.4,2,Hyderabad
D0158,Scooter,4.6,2,Pune
D0159,Bike,4.1,2,Mumbai
D0160,Car,4.9,6,Mumbai
D0161,Bike,4.0,2,Mumbai
D0162,Scooter,4.3,3,Chennai
D0163,Bike,4.3,4,Delhi
D0164,Scooter,3.8,1,Bangalore
D0165,Car,4.1,5,Kolkata
D0166,Car,4.3,4,Chennai
D0167,Car,4.0,3,Hyderabad
D0168,Bike,5.0,6,Hyderabad
D0169,Scooter,3.9,1,Mumbai
D0170,Bike,4.6,7,Bangalore
D0171,Scooter,4.5,4,Mumbai
D0172,Bike,4.2,4,Hyderabad
D0173,Car,3.9,7,Hyderabad
D0174,Car,3.9,6,Kolkata
D0175,Bike,4.0,4,Delhi
D0176,Bike,3.6,6,Kolkata
D0177,Bike,3.8,3,Delhi
D0178,Scooter,3.7,4,Kolkata
D0179,Bike,4.7,0,Delhi
D0180,Car,4.4,0,Mumbai
D0181,Scooter,4.5,6,Pune
D0182,Scooter,4.4,0,Bangalore
D0183,Scooter,4.3,1,Delhi
D0184,Bike,4.7,6,Chennai
D0185,Car,4.0,0,Delhi
D0186,Scooter,4.2,2,Mumbai
D0187,Car,4.5,4,Bangalore
D0188,Bike,3.7,4,Delhi
D0189,Scooter,5.0,6,Kolkata
D0190,Bike,4.2,3,Bangalore
D0191,Scooter,4.2,3,Chennai
D0192,Scooter,4.6,5,Hyderabad
D0193,Scooter,4.5,3,Kolkata
D0194,Scooter,4.2,4,Bangalore
D0195,Bike,4.2,8,Pune
D0196,Car,3.7,2,Delhi
D0197,Car,4.0,2,Kolkata
D0198,Bike,4.4,0,Mumbai
D0199,Car,4.4,4,Pune
D0200,Bike,4.6,0,Pune
D0201,Scooter,4.2,3,Mumbai
D0202,Bike,3.7,6,Mumbai
D0203,Car,4.6,4,Mumbai
D0204,Bike,4.7,1,Pune
D0205,Bike,4.5,6,Bangalore
D0206,Bike,4.1,1,Mumbai
D0207,Bike,4.6,5,Hyderabad
D0208,Scooter,5.0,4,Pune
D0209,Bike,4.2,1,Pune
D0210,Scooter,3.7,8,Pune
D0211,Car,4.0,1,Chennai
D0212,Scooter,4.4,10,Bangalore
D0213,Car,3.6,0,Bangalore
D0214,Bike,4.3,1,Mumbai
D0215,Bike,4.3,1,Pune
D0216,Bike,4.7,0,Kolkata
D0217,Bike,4.7,5,Pune
D0218,Car,4.5,5,Mumbai
D0219,Bike,3.4,6,Bangalore
D0220,Car,4.5,1,Mumbai
D0221,Bike,4.4,3,Mumbai
D0222,Scooter,4.3,5,Mumbai
D0223,Bike,3.6,3,Mumbai
D0224,Bike,3.9,5,Mumbai
D0225,Scooter,3.8,4,Delhi
D0226,Bike,3.5,0,Delhi
D0227,Scooter,4.2,6,Pune
D0228,Scooter,3.9,5,Pune
D0229,Bike,5.0,5,Kolkata
D0230,Car,4.1,1,Kolkata
D0231,Bike,4.7,1,Delhi
D0232,Scooter,3.7,2,Bangalore
D0233,Bike,4.0,2,Chennai
D0234,Scooter,4.2,1,Bangalore
D0235,Bike,3.9,6,Kolkata
D0236,Bike,4.1,4,Pune
D0237,Bike,4.1,4,Delhi
D0238,Bike,4.1,1,Bangalore
D0239,Bike,4.8,8,Chennai
D0240,Scooter,4.3,1,Mumbai
D0241,Scooter,4.4,6,Hyderabad
D0242,Bike,4.4,9,Delhi
D0243,Bike,4.4,5,Delhi
D0244,Bike,4.2,10,Chennai
D0245,Bike,4.1,5,Mumbai
D0246,Bike,4.3,1,Mumbai
D0247,Bike,4.6,1,Hyderabad
D0248,Car,4.6,2,Mumbai
D0249,Scooter,4.1,0,Chennai
D0250,Bike,4.5,5,Pune
D0251,Bike,4.1,1,Mumbai
D0252,Scooter,4.2,6,Pune
D0253,Bike,4.0,2,Kolkata
D0254,Scooter,4.1,3,Kolkata
D0255,Car,4.7,9,Pune
D0256,Scooter,4.2,1,Chennai
D0257,Bike,4.2,5,Delhi
D0258,Scooter,3.7,6,Delhi
D0259,Car,4.1,1,Delhi
D0260,Scooter,4.1,3,Bangalore
D0261,Scooter,3.9,2,Delhi
D0262,Bike,4.2,6,Chennai
D0263,Bike,4.0,4,Hyderabad
D0264,Scooter,4.2,3,Kolkata
D0265,Car,4.2,6,Mumbai
D0266,Scooter,3.9,1,Delhi
D0267,Scooter,4.1,6,Bangalore
D0268,Bike,4.2,7,Kolkata
D0269,Bike,4.6,7,Kolkata
D0270,Bike,4.3,6,Pune
D0271,Bike,4.0,2,Bangalore
D0272,Scooter,4.3,10,Chennai
D0273,Bike,4.8,2,Hyderabad
D0274,Scooter,4.5,4,Delhi
D0275,Scooter,4.4,1,Delhi
D0276,Bike,4.5,10,Bangalore
D0277,Bike,4.7,5,Chennai
D0278,Scooter,4.6,6,Bangalore
D0279,Car,4.4,0,Bangalore
D0280,Scooter,4.6,6,Hyderabad
D0281,Bike,3.8,6,Chennai
D0282,Bike,3.7,5,Hyderabad
D0283,Bike,4.3,2,Chennai
D0284,Bike,4.2,3,Delhi
D0285,Scooter,4.0,0,Mumbai
D0286,Scooter,4.5,3,Pune
D0287,Bike,3.5,1,Mumbai
D0288,Bike,4.0,2,Kolkata
D0289,Bike,4.0,1,Chennai
D0290,Car,3.6,1,Mumbai
D0291,Bike,4.7,0,Bangalore
D0292,Scooter,3.7,8,Delhi
D0293,Bike,4.0,3,Pune
D0294,Scooter,4.5,2,Pune
D0295,Bike,4.4,3,Kolkata
D0296,Bike,3.8,4,Pune
D0297,Scooter,4.4,8,Delhi
D0298,Scooter,4.3,1,Mumbai
D0299,Bike,5.0,2,Pune
D0300,Bike,4.3,10,Pune
