payment_id,order_id,customer_id,payment_method,payment_status,amount_paid,payment_timestamp
PAY000001,O000001,C03655,Credit Card,Refunded,451.57,2026-05-07 21:14:00
PAY000002,O000002,C03252,Credit Card,Successful,739.46,2026-01-20 11:30:00
PAY000003,O000003,C03590,Credit Card,Successful,701.26,2026-03-10 17:21:00
PAY000004,O000004,C04776,UPI,Successful,185.22,2026-03-10 09:02:00
PAY000005,O000005,C00608,Credit Card,Successful,575.92,2026-05-08 20:01:00
PAY000006,O000006,C04427,Credit Card,Failed,0.0,2026-01-28 00:22:00
PAY000007,O000007,C03928,Debit Card,Successful,1271.61,2026-01-11 21:15:00
PAY000008,O000008,C02153,Debit Card,Successful,232.8,2026-01-05 06:16:00
PAY000009,O000009,C00547,UPI,Successful,819.28,2026-06-07 00:15:00
PAY000010,O000010,C04889,Debit Card,Successful,1218.85,2026-04-23 02:23:00
PAY000011,O000011,C01905,UPI,Successful,941.49,2026-01-04 15:18:00
PAY000012,O000012,C01683,Credit Card,Successful,237.05,2026-06-19 23:11:00
PAY000013,O000013,C00489,UPI,Successful,838.9,2026-01-20 13:28:00
PAY000014,O000014,C01823,UPI,Successful,1206.58,2026-05-16 18:24:00
PAY000015,O000015,C03122,UPI,Successful,188.83,2026-06-04 22:08:00
PAY000016,O000016,C03775,Wallet,Successful,941.2,2026-04-28 14:28:00
PAY000017,O000017,C03073,Cash,Successful,224.45,2026-01-13 19:07:00
PAY000018,O000018,C03453,Debit Card,Refunded,314.68,2026-04-13 11:09:00
PAY000019,O000019,C00650,Wallet,Successful,704.51,2026-03-23 20:03:00
PAY000020,O000020,C00648,Debit Card,Successful,916.13,2026-05-18 03:29:00
PAY000021,O000021,C00381,UPI,Failed,0.0,2026-02-18 18:11:00
PAY000022,O000022,C02067,Credit Card,Successful,218.8,2026-05-06 22:06:00
PAY000023,O000023,C01864,Credit Card,Failed,0.0,2026-02-06 22:13:00
PAY000024,O000024,C02291,UPI,Successful,280.98,2026-05-09 14:05:00
PAY000025,O000025,C04225,Credit Card,Successful,699.99,2026-02-17 11:04:00
PAY000026,O000026,C01200,Credit Card,Successful,171.39,2026-06-28 16:23:00
PAY000027,O000027,C04505,UPI,Successful,324.81,2026-06-17 18:01:00
PAY000028,O000028,C04888,Debit Card,Successful,289.03,2026-04-03 02:08:00
PAY000029,O000029,C02991,Cash,Successful,1033.29,2026-05-08 08:29:00
PAY000030,O000030,C01108,Debit Card,Successful,586.41,2026-05-28 19:24:00
PAY000031,O000031,C03448,Debit Card,Successful,1849.21,2026-05-04 11:30:00
PAY000032,O000032,C00222,Credit Card,Successful,508.35,2026-05-28 13:15:00
PAY000033,O000033,C01440,UPI,Successful,1030.23,2026-02-25 21:29:00
PAY000034,O000034,C00618,UPI,Successful,326.91,2026-01-23 04:24:00
PAY000035,O000035,C02571,UPI,Successful,591.48,2026-01-23 17:29:00
PAY000036,O000036,C02756,Credit Card,Failed,0.0,2026-04-27 11:13:00
PAY000037,O000037,C02791,Cash,Failed,0.0,2026-03-27 08:04:00
PAY000038,O000038,C03943,UPI,Successful,776.34,2026-05-29 14:28:00
PAY000039,O000039,C03310,Cash,Successful,632.54,2026-01-11 13:00:00
PAY000040,O000040,C04055,Credit Card,Successful,577.71,2026-04-09 22:17:00
PAY000041,O000041,C00225,Debit Card,Successful,249.66,2026-01-29 21:25:00
PAY000042,O000042,C02242,UPI,Refunded,1370.16,2026-05-08 21:02:00
PAY000043,O000043,C04153,UPI,Failed,0.0,2026-02-28 20:03:00
PAY000044,O000044,C03697,UPI,Failed,0.0,2026-02-13 10:04:00
PAY000045,O000045,C03351,UPI,Successful,151.08,2026-01-02 19:03:00
PAY000046,O000046,C03828,UPI,Successful,740.84,2026-04-03 22:27:00
PAY000047,O000047,C01404,Credit Card,Successful,229.13,2026-04-19 21:02:00
PAY000048,O000048,C04213,UPI,Successful,234.0,2026-05-07 16:04:00
PAY000049,O000049,C00410,Credit Card,Successful,896.74,2026-06-28 16:11:00
PAY000050,O000050,C01917,Debit Card,Successful,980.2,2026-04-13 01:21:00
PAY000051,O000051,C03439,Cash,Successful,1571.1,2026-04-29 00:20:00
PAY000052,O000052,C04068,UPI,Successful,264.35,2026-04-18 12:00:00
PAY000053,O000053,C02860,Credit Card,Successful,679.02,2026-05-05 14:08:00
PAY000054,O000054,C01984,Cash,Successful,284.71,2026-06-16 21:22:00
PAY000055,O000055,C02052,UPI,Successful,1158.37,2026-06-24 22:15:00
PAY000056,O000056,C03702,Credit Card,Successful,409.0,2026-04-16 11:21:00
PAY000057,O000057,C00023,Debit Card,Successful,1001.66,2026-04-17 21:14:00
PAY000058,O000058,C02969,Wallet,Successful,242.32,2026-05-31 05:18:00
PAY000059,O000059,C00745,Debit Card,Successful,1184.78,2026-01-03 21:27:00
PAY000060,O000060,C00602,UPI,Successful,466.28,2026-02-04 22:20:00
PAY000061,O000061,C03036,Wallet,Successful,100.4,2026-02-01 15:00:00
PAY000062,O000062,C01843,UPI,Successful,285.91,2026-01-13 22:07:00
PAY000063,O000063,C02675,UPI,Successful,1612.91,2026-03-07 11:18:00
PAY000064,O000064,C04177,Credit Card,Refunded,277.4,2026-05-17 03:07:00
PAY000065,O000065,C02663,UPI,Successful,380.89,2026-04-18 21:26:00
PAY000066,O000066,C00483,Cash,Successful,242.31,2026-02-18 12:06:00
PAY000067,O000067,C04037,Debit Card,Successful,383.96,2026-06-11 18:00:00
PAY000068,O000068,C02640,UPI,Successful,264.33,2026-02-26 19:00:00
PAY000069,O000069,C03312,Cash,Successful,367.02,2026-04-05 16:15:00
