restaurant_id,restaurant_name,restaurant_category,restaurant_rating,avg_prep_time,city
R0001,The Food Studio 1,Pizza,4.1,26,Chennai
R0002,The Food Studio 2,South Indian,4.2,20,Delhi
R0003,Food Junction 3,Cafe,4.1,22,Bangalore
R0004,Street Kitchen 4,Biryani,3.5,33,Kolkata
R0005,Street Kitchen 5,South Indian,4.3,27,Hyderabad
R0006,Flavour Hub 6,Fast Food,4.9,13,Bangalore
R0007,The Food Studio 7,Desserts,4.3,19,Kolkata
R0008,Green Plate 8,Chinese,3.9,23,Mumbai
R0009,Food Junction 9,Cafe,3.5,10,Chennai
R0010,Green Plate 10,Desserts,3.7,14,Kolkata
R0011,The Tasty Corner 11,Cafe,4.3,17,Pune
R0012,Curry House 12,Chinese,4.5,26,Kolkata
R0013,Flavour Hub 13,Fast Food,4.2,14,Mumbai
R0014,Curry House 14,Biryani,4.4,32,Chennai
R0015,Flavour Hub 15,Bakery,4.4,20,Mumbai
R0016,Biryani Bowl 16,Pizza,4.3,20,Delhi
R0017,Food Junction 17,South Indian,3.8,27,Chennai
R0018,Curry House 18,Indian,4.2,32,Pune
R0019,Green Plate 19,Biryani,3.8,44,Chennai
R0020,Food Junction 20,Biryani,4.1,48,Mumbai
R0021,Green Plate 21,Healthy,4.2,18,Hyderabad
R0022,The Food Studio 22,Cafe,4.8,23,Mumbai
R0023,Curry House 23,Cafe,3.6,14,Chennai
R0024,The Food Studio 24,Healthy,4.3,27,Chennai
R0025,Street Kitchen 25,South Indian,4.7,29,Kolkata
R0026,The Tasty Corner 26,Cafe,4.4,21,Hyderabad
R0027,Biryani Bowl 27,Bakery,4.4,17,Bangalore
R0028,Biryani Bowl 28,Pizza,4.3,32,Hyderabad
R0029,Curry House 29,Indian,4.6,28,Bangalore
R0030,Urban Bites 30,Indian,3.7,22,Pune
R0031,The Tasty Corner 31,Chinese,3.5,33,Chennai
R0032,Spice Route 32,Chinese,4.1,30,Kolkata
R0033,Flavour Hub 33,Pizza,3.2,29,Delhi
R0034,Biryani Bowl 34,Desserts,4.6,10,Delhi
R0035,Food Junction 35,Desserts,4.6,10,Mumbai
R0036,Street Kitchen 36,Biryani,3.9,42,Hyderabad
R0037,The Food Studio 37,Biryani,4.0,43,Hyderabad
R0038,Spice Route 38,Healthy,4.1,15,Delhi
R0039,Food Junction 39,Fast Food,4.1,11,Bangalore
R0040,Curry House 40,Chinese,4.2,21,Hyderabad
R0041,The Tasty Corner 41,Fast Food,4.3,16,Bangalore
R0042,Biryani Bowl 42,Cafe,4.0,18,Bangalore
R0043,Flavour Hub 43,Indian,4.5,23,Bangalore
R0044,Spice Route 44,Biryani,4.3,31,Bangalore
R0045,Biryani Bowl 45,Desserts,3.9,12,Kolkata
R0046,Urban Bites 46,Pizza,4.6,29,Mumbai
R0047,Urban Bites 47,Chinese,3.6,24,Mumbai
R0048,Urban Bites 48,Indian,4.1,28,Kolkata
R0049,Street Kitchen 49,South Indian,4.5,22,Delhi
R0050,The Food Studio 50,Pizza,3.8,32,Mumbai
R0051,Curry House 51,Fast Food,4.2,21,Pune
R0052,Food Junction 52,Bakery,4.3,12,Kolkata
R0053,Biryani Bowl 53,Fast Food,3.8,18,Hyderabad
R0054,Food Junction 54,Chinese,4.1,29,Pune
R0055,Food Junction 55,Pizza,4.0,22,Kolkata
R0056,Biryani Bowl 56,Bakery,3.9,19,Mumbai
R0057,The Food Studio 57,Cafe,5.0,21,Hyderabad
R0058,Street Kitchen 58,South Indian,3.8,28,Hyderabad
R0059,Street Kitchen 59,Fast Food,4.5,17,Bangalore
R0060,The Tasty Corner 60,South Indian,3.9,30,Delhi
R0061,Curry House 61,Pizza,3.7,20,Bangalore
R0062,The Tasty Corner 62,Indian,4.1,39,Kolkata
R0063,The Food Studio 63,Pizza,4.4,23,Bangalore
R0064,Food Junction 64,Desserts,4.5,15,Pune
R0065,Curry House 65,Bakery,4.7,11,Mumbai
R0066,The Tasty Corner 66,Indian,5.0,26,Pune
R0067,The Tasty Corner 67,Fast Food,4.2,14,Mumbai
R0068,Urban Bites 68,Cafe,3.8,19,Pune
